iter	Passed	Remaining
786	5056	1368
787	5062	1361
788	5068	1355
789	5074	1348
790	5080	1342
791	5086	1335
792	5092	1329
793	5099	1322
794	5104	1316
795	5110	1309
796	5117	1303
797	5123	1296
798	5130	1290
799	5136	1284
800	5143	1277
801	5149	1271
802	5157	1265
803	5163	1258
804	5169	1252
805	5175	1245
806	5182	1239
807	5188	1233
808	5194	1226
809	5200	1219
810	5208	1213
811	5215	1207
812	5221	1200
813	5226	1194
814	5233	1188
815	5240	1181
816	5246	1175
817	5252	1168
818	5258	1162
819	5265	1155
820	5272	1149
821	5278	1142
822	5284	1136
823	5290	1129
824	5296	1123
825	5302	1116
826	5309	1110
827	5315	1104
828	5321	1097
829	5326	1091
830	5332	1084
831	5338	1077
832	5344	1071
833	5351	1065
834	5357	1058
835	5363	1052
836	5370	1045
837	5377	1039
838	5383	1033
839	5390	1026
840	5396	1020
841	5402	1013
842	5409	1007
843	5415	1000
844	5421	994
845	5427	988
846	5433	981
847	5440	975
848	5446	968
849	5452	962
850	5459	955
851	5465	949
852	5471	942
853	5478	936
854	5484	930
855	5490	923
856	5496	917
857	5503	910
858	5509	904
859	5515	897
860	5523	891
861	5528	885
862	5535	878
863	5541	872
864	5548	865
865	5555	859
866	5561	853
867	5567	846
868	5574	840
869	5581	833
870	5586	827
871	5593	821
872	5600	814
873	5607	808
874	5613	801
875	5619	795
876	5624	788
877	5631	782
878	5639	776
879	5645	769
880	5651	763
881	5658	756
882	5664	750
883	5670	744
884	5677	737
885	5684	731
886	5690	724
887	5697	718
888	5702	712
889	5708	705
890	5714	699
891	5720	692
892	5726	686
893	5733	679
894	5739	673
895	5745	666
896	5752	660
897	5757	653
898	5764	647
899	5771	641
900	5778	634
901	5784	628
902	5790	622
903	5797	615
904	5803	609
905	5809	602
906	5815	596
907	5822	589
908	5828	583
909	5834	577
910	5840	570
911	5846	564
912	5853	557
913	5859	551
914	5865	544
915	5871	538
916	5878	532
917	5884	525
918	5891	519
919	5898	512
920	5904	506
921	5911	500
922	5917	493
923	5923	487
924	5929	480
925	5935	474
926	5941	467
927	5948	461
928	5954	455
929	5960	448
930	5966	442
931	5972	435
932	5980	429
933	5986	423
934	5992	416
935	5999	410
936	6005	403
937	6010	397
938	6016	390
939	6022	384
940	6028	377
941	6034	371
942	6041	365
943	6047	358
944	6053	352
945	6060	345
946	6066	339
947	6073	333
948	6079	326
949	6086	320
950	6092	313
951	6098	307
952	6105	301
953	6112	294
954	6119	288
955	6125	281
956	6131	275
957	6138	269
958	6143	262
959	6150	256
960	6156	249
961	6162	243
962	6169	237
963	6175	230
964	6181	224
965	6186	217
966	6192	211
967	6199	204
968	6205	198
969	6211	192
970	6218	185
971	6224	179
972	6230	172
973	6236	166
974	6242	160
975	6248	153
976	6255	147
977	6261	140
978	6269	134
979	6275	128
980	6282	121
981	6288	115
982	6295	108
983	6301	102
984	6308	96
985	6314	89
986	6320	83
987	6327	76
988	6333	70
989	6340	64
990	6346	57
991	6352	51
992	6358	44
993	6364	38
994	6371	32
995	6377	25
996	6384	19
997	6390	12
998	6397	6
999	6403	0
